noise_removal1,combination,selection,noise_removal2,transformation,core,err_min,err_mean,err_median,err_90prctile,err_max,rmse
bandpass,none,yz,wavelet,none,corr,"1,148267","17,85694","7,036927","15,368967","17,85694","9,3901"
none,ica,xyz,none,none,wavelet,"0,829754","29,484221","7,082394","22,423661","29,484221","12,956605"
none,ica,xyz,smooth,none,wavelet,"0,829754","29,484221","7,082394","22,423661","29,484221","12,956605"
none,ica,xyz,bandpass,none,wavelet,"0,829754","29,484221","7,082394","22,423661","29,484221","12,956605"
none,ica,xyz,wavelet,none,wavelet,"0,829754","29,484221","7,082394","22,423661","29,484221","12,956605"
wavelet,none,xy,none,abs,wavelet,"0,109821","60,783694","7,090943","38,510933","60,783694","21,321122"
wavelet,none,xy,smooth,abs,wavelet,"0,109821","60,783694","7,090943","38,510933","60,783694","21,321122"
wavelet,none,xy,bandpass,abs,wavelet,"0,109821","60,783694","7,090943","38,510933","60,783694","21,321122"
wavelet,none,xy,wavelet,abs,wavelet,"0,109821","60,783694","7,090943","38,510933","60,783694","21,321122"
wavelet,none,x,none,abs,wavelet,"1,529015","62,51142","7,107602","36,351177","62,51142","21,327595"
wavelet,none,x,smooth,abs,wavelet,"1,529015","62,51142","7,107602","36,351177","62,51142","21,327595"
wavelet,none,x,bandpass,abs,wavelet,"1,529015","62,51142","7,107602","36,351177","62,51142","21,327595"
wavelet,none,x,wavelet,abs,wavelet,"1,529015","62,51142","7,107602","36,351177","62,51142","21,327595"
smooth,none,xyz,none,none,wavelet,"1,213855","43,84361","7,131583","39,328929","43,84361","18,576799"
smooth,none,xyz,smooth,none,wavelet,"1,213855","43,84361","7,131583","39,328929","43,84361","18,576799"
smooth,none,xyz,bandpass,none,wavelet,"1,213855","43,84361","7,131583","39,328929","43,84361","18,576799"
smooth,none,xyz,wavelet,none,wavelet,"1,213855","43,84361","7,131583","39,328929","43,84361","18,576799"
smooth,none,xyz,none,abs,wavelet,"0,980181","59,568857","7,131583","44,046503","59,568857","21,942236"
smooth,none,xyz,smooth,abs,wavelet,"0,980181","59,568857","7,131583","44,046503","59,568857","21,942236"
smooth,none,xyz,bandpass,abs,wavelet,"0,980181","59,568857","7,131583","44,046503","59,568857","21,942236"
smooth,none,xyz,wavelet,abs,wavelet,"0,980181","59,568857","7,131583","44,046503","59,568857","21,942236"
smooth,ica,xz,none,none,wavelet,"2,156678","52,975566","7,148599","46,644499","52,975566","21,450453"
smooth,ica,xz,smooth,none,wavelet,"2,156678","52,975566","7,148599","46,644499","52,975566","21,450453"
smooth,ica,xz,bandpass,none,wavelet,"2,156678","52,975566","7,148599","46,644499","52,975566","21,450453"
smooth,ica,xz,wavelet,none,wavelet,"2,156678","52,975566","7,148599","46,644499","52,975566","21,450453"
smooth,ica,y,none,none,wavelet,"0,535319","57,315994","7,207491","44,07761","57,315994","21,336659"
smooth,ica,y,smooth,none,wavelet,"0,535319","57,315994","7,207491","44,07761","57,315994","21,336659"
smooth,ica,y,bandpass,none,wavelet,"0,535319","57,315994","7,207491","44,07761","57,315994","21,336659"
smooth,ica,y,wavelet,none,wavelet,"0,535319","57,315994","7,207491","44,07761","57,315994","21,336659"
none,ica,z,none,abs,wavelet,"1,103584","57,166873","7,219825","28,883797","57,166873","18,990961"
none,ica,z,smooth,abs,wavelet,"1,103584","57,166873","7,219825","28,883797","57,166873","18,990961"
none,ica,z,bandpass,abs,wavelet,"1,103584","57,166873","7,219825","28,883797","57,166873","18,990961"
none,ica,z,wavelet,abs,wavelet,"1,103584","57,166873","7,219825","28,883797","57,166873","18,990961"
none,none,y,none,none,wavelet,"0,534501","51,103156","7,22573","27,486592","51,103156","17,200838"
none,none,y,smooth,none,wavelet,"0,534501","51,103156","7,22573","27,486592","51,103156","17,200838"
none,none,y,bandpass,none,wavelet,"0,534501","51,103156","7,22573","27,486592","51,103156","17,200838"
none,none,y,wavelet,none,wavelet,"0,534501","51,103156","7,22573","27,486592","51,103156","17,200838"
smooth,pca,x,none,abs,fft,"0,9958","48,491916","7,245118","44,292504","48,491916","20,601728"
smooth,pca,x,smooth,abs,fft,"0,9958","48,491916","7,245118","44,292504","48,491916","20,601728"
smooth,pca,x,bandpass,abs,fft,"0,9958","48,491916","7,245118","44,292504","48,491916","20,601728"
smooth,pca,x,wavelet,abs,fft,"0,9958","48,491916","7,245118","44,292504","48,491916","20,601728"
none,pca,xy,none,abs,fft,"0,245853","29,99412","7,249108","27,718937","29,99412","16,288402"
none,pca,xy,smooth,abs,fft,"0,245853","29,99412","7,249108","27,718937","29,99412","16,288402"
none,pca,xy,bandpass,abs,fft,"0,245853","29,99412","7,249108","27,718937","29,99412","16,288402"
